,地方連絡協議会名,都道府県名,特殊作業員,普通作業員,軽作業員,造園工,法面工,とび工,石工,ブロック工,電工,鉄筋工,鉄骨工,塗装工,溶接工,運転手（特殊）,運転手（一般）,潜かん工,潜かん世話役,さく岩工,トンネル特殊工,トンネル作業員,トンネル世話役,橋りょう特殊工,橋りょう塗装工,橋りょう世話役,土木一般世話役,高級船員,普通船員,潜水士,潜水連絡員,潜水送気員,山林砂防工,軌道工,型わく工,大工,左官,配管工,はつり工,防水工,板金工,タイル工,サッシ工,屋根ふき工,内装工,ガラス工,建具工,ダクト工,保温工,設備機械工,交通誘導警備員A,交通誘導警備員B
34,中 国,35 山口県,"22,000","18,800","15,300","21,400","25,400","24,700",,,"22,400","25,100","23,200","23,000","25,100","21,900","20,100","33,600","41,700","30,600","41,700","28,700","44,100","29,000","29,000","36,000","24,800","28,900","23,100","45,000","32,700","31,600",,"31,600","23,600","24,100","22,000","21,700","27,000","25,000","23,600",,"23,900",,"24,900","22,600","23,500","21,600","21,800","25,000","17,000","14,200"
35,四 国,36 徳島県,"23,300","21,900","15,800","21,800","30,700","25,300",,,"23,700","24,500","24,500","25,100","26,900","21,700","20,700","34,900","43,200","27,600","38,300","27,600","39,700","31,700","32,000","36,800","26,400","38,300","29,200","47,700",,"25,100","25,100","32,400","25,900",,"25,000","22,000",,"25,000",,,,,,"22,600",,"21,100",,"23,400","15,500","13,800"
36,四 国,37 香川県,"24,200","22,600","15,800","22,300","28,700","25,400",,,"24,200","24,800","24,600","25,100","27,000","23,300","21,700","34,800","43,100","27,600","38,600","27,500","39,900","31,600","32,000","37,200","26,400","38,400","30,500","48,500",,"25,600","25,100","32,400","25,800",,"25,000","23,000",,"25,100",,,,,,"22,600",,"21,100",,"23,400","15,600","14,000"
37,四 国,38 愛媛県,"22,900","19,700","15,300","22,100","28,300","25,200",,,"23,100","23,400","24,500","25,100","27,000","23,700","21,400","34,900","43,200","27,700","38,500","27,400","39,900","31,400","32,100","35,900","27,700","38,100","29,200","48,300",,"25,200","25,200","32,400","25,700",,"24,800","21,900",,"24,800",,,,,,"22,600",,"21,100",,"23,400","14,900","12,600"
38,四 国,39 高知県,"22,600","20,100","16,300","22,600","29,400","25,700",,,"23,100","23,500","24,600","25,400","27,100","24,200","21,900","34,900","43,200","27,600","38,600","27,500","39,600","31,700","32,100","36,800","26,200","38,100","28,700","48,100",,"25,300","25,100","32,400","25,300",,"24,700","21,600",,"24,800",,,,,,"22,600",,"21,100",,"23,400","14,200","12,000"
39,九 州,40 福岡県,"25,600","21,900","14,900","22,200","27,100","27,000","29,000","26,500","24,100","26,200","23,800","26,900","27,900","24,800","22,400","36,900","45,700","34,200","40,400","28,500","43,400","31,700","32,200","37,900","29,000","33,100","25,800","41,100","27,000","27,900",,"32,800","25,800","25,600","26,000","22,800","27,700","26,500","25,400",,,,"27,100","26,700","23,500","23,300","23,800","26,800","15,700","14,100"
40,九 州,41 佐賀県,"22,600","18,900","14,500","22,200","26,700","25,500","29,500","26,900","23,700","25,800","24,200","27,700","27,500","27,400","23,200","37,000","45,900","34,400","39,200","29,000","43,700","31,800","32,400","38,300","27,700","33,000","25,900","41,400","27,100","28,000",,"34,400","28,000","25,800","26,200","22,400","27,900","26,800","25,600",,,,"27,200","26,800","23,600","23,200","23,900","27,100","15,700","13,900"
41,九 州,42 長崎県,"23,600","19,800","15,300","22,900","26,500","25,300","29,700","26,700","22,700","25,700","23,800","27,300","27,000","23,400","21,500","37,100","46,000","34,500","40,200","29,200","43,700","31,800","32,500","38,300","27,300","31,700","24,900","41,100","26,900","27,700",,"33,900","25,600","25,700","26,100","22,300","27,800","26,400","25,800",,,,"28,300","26,900","23,600","23,400","23,900","27,300","15,900","14,800"
42,九 州,43 熊本県,"24,100","20,300","16,100","22,500","27,800","26,500","29,600","26,500","22,300","26,500","24,100","27,200","27,500","24,300","22,100","37,200","46,100","34,400","40,500","28,100","43,600","31,800","32,400","36,900","28,400","33,200","25,300","41,300","27,100","27,900",,"33,800","25,800","25,800","25,700","21,900","27,800","26,600","25,400",,,,"27,300","27,000","23,500","23,100","23,900","26,800","15,400","13,500"
43,九 州,44 大分県,"23,000","19,000","15,200","22,200","25,700","26,000","29,100","26,100","22,600","26,300","24,200","26,000","27,100","26,000","24,800","37,100","46,000","34,500","39,400","28,000","43,700","31,800","32,500","37,500","28,700","33,100","25,500","41,400","27,000","27,800",,"33,600","25,000","25,500","25,800","22,700","27,800","26,600","25,600",,,,"27,200","26,800","23,500","23,600","23,900","26,900","15,700","12,800"
44,九 州,45 宮崎県,"25,700","18,500","15,300","22,300","25,900","26,300","29,500","26,100","22,100","24,800","24,000","26,600","26,300","26,000","23,000","37,000","45,900","34,400","41,100","28,000","43,700","31,800","32,400","38,100","29,100","31,700","24,900","41,300","26,900","27,700",,"33,200","26,200","25,300","25,700","21,700","27,900","26,300","25,500",,,,"27,000","26,800","23,600","23,400","23,900","26,700","15,700","12,400"
45,九 州,46 鹿児島県,"28,200","19,900","16,400","21,900","30,000","26,800","29,500","26,100","22,700","26,200","24,000","27,100","27,400","28,800","26,300","37,100","46,000","34,500","40,900","28,400","43,600","31,800","32,500","38,400","31,500","31,500","24,900","41,500","27,000","28,000",,"33,400","28,800","25,900","26,200","22,100","27,800","26,400","25,600",,,,"26,800","26,900","23,600","23,300","23,900","26,700","16,700","14,400"
46,沖 縄,47 沖縄県,"25,300","21,400","16,000","21,700","25,400","31,900",,,"19,900","29,200","22,700","27,500","27,200","28,600","26,400","37,300","46,300",,"31,200","25,400","41,000","37,800","28,500","44,000","30,700","27,700","25,300","49,200","31,400","34,900",,,"29,800",,"28,500","20,300",,"35,000",,,,,"23,200","26,000",,"20,300",,"23,500","14,600","12,400"
